player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Christopher Eubanks,2025-06-30,1456.1436338563328,0.4,0.6666666666666666,0.4444444444444444,7.6,96.8,0.5604938271604939,1442.3548330316366,0,0.0,1.0,1.0,0.0
Christopher O'Connell,2026-03-31,1456.8693572358293,0.3,0.0,0.3,9.4,129.3,0.6265195915195915,1440.347594455418,0,0.0,0.0,0.0,1.0
Christos Antonopoulos,2025-02-01,1500.0,,,,,,,1484.603585900408,0,,,,
Chun Hun Wong,2025-02-01,1500.0,,,,,,,1484.0,0,,,,
Chun-Hsin Tseng,2026-03-05,1372.3820228130428,0.2,0.3333333333333333,0.2,4.0,109.3,0.5390401446773996,1364.3915536815102,0,1.0,0.0,0.0,0.0
Cleeve Harper,2025-09-12,1500.0,,,,,,,1514.4968053860887,1,,,,
Clement Chidekh,2025-02-10,1500.0,,,,,,,1488.2879293446229,0,,,,
Clement Tabur,2026-05-26,1480.6123877277284,0.4,0.6666666666666666,0.0,4.4,135.5,0.7209090909090909,1479.9180873657092,0,0.0,0.0,1.0,1.0
Codie Schalk Van Schalkwyk,2025-02-01,1500.0,0.0,0.0,0.0,,,,1499.1793178844252,0,1.0,,,
Coleman Wong,2026-05-24,1539.5275750604999,0.5,0.0,0.0,9.0,101.3,0.7018181818181819,1528.4072181710358,0,0.0,0.0,0.0,1.0
Colton Smith,2026-03-31,1465.0072362359974,0.3333333333333333,0.0,0.6666666666666666,3.5555555555555554,91.77777777777777,0.684335417668751,1451.706572288656,0,0.0,0.0,0.0,0.0
Conner Huertas del Pino,2025-01-31,1500.0,,,,,,,1516.0,1,,,,
Connor Doig,2025-09-13,1500.0,,,,,,,1483.919388246389,0,,,,
Connor Henry Van Schalkwyk,2025-02-01,1500.0,1.0,1.0,1.0,,,,1498.4424402313207,1,0.0,,,
Conor Gannon,2024-09-13,1500.0,0.0,0.0,0.0,2.0,63.0,0.42857142857142855,1467.2190963232079,0,0.0,,,
Constant Lestienne,2025-02-03,1401.911227222718,0.2,0.3333333333333333,0.3,2.6,112.33333333333333,0.5780988455988456,1394.6729109568917,0,1.0,0.0,0.0,0.0
Corentin Denolly,2025-03-31,1500.0,1.0,1.0,1.0,1.0,139.0,0.7142857142857143,1494.9101680489387,1,0.0,,,
Corentin Moutet,2026-05-26,1546.004461007295,0.3,0.0,0.4,1.6,107.7,0.5037037037037037,1530.9413957664046,0,0.0,0.0,0.0,0.0
Courtney John Lock,2025-01-31,1483.263693206478,0.0,0.0,0.0,1.0,59.0,0.4444444444444444,1468.0338330211207,0,0.0,,,
Cristian Garin,2026-05-26,1477.3104013353618,0.4,0.3333333333333333,0.4,3.2,137.6,0.5753787878787879,1471.524520504043,0,0.0,1.0,0.0,0.0
Dalibor Svrcina,2026-05-07,1527.894746750894,0.5,0.3333333333333333,0.0,1.9,95.9,0.6236507936507938,1510.3740079752529,0,0.0,1.0,0.0,1.0
Damir Dzumhur,2026-05-24,1453.5894460879456,0.5,0.3333333333333333,0.5,0.8,96.2,0.49212121212121207,1445.1414981457533,0,0.0,1.0,0.0,1.0
Dan Added,2025-11-03,1500.0,,,,,,,1483.2063833257125,0,,,,
Dan Martin,2025-07-27,1500.0,,,,,,,1486.1571680799805,0,,,,
Dane Sweeny,2026-01-22,1485.1157832740166,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,142.5,0.7278554778554779,1478.1285989340652,0,1.0,0.0,0.0,
Daniel Altmaier,2026-05-26,1482.6688904266298,0.4,0.6666666666666666,0.4,5.0,112.0,0.45,1476.3619671104811,0,0.0,1.0,1.0,0.0
Daniel Antonio Nunez,2025-09-12,1500.0,,,,,,,1516.0,1,,,,
Daniel Cukierman,2025-09-12,1486.6701140566818,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,88.0,0.2,1476.9112519262567,0,0.0,1.0,0.0,
Daniel Elahi Galan,2025-08-24,1413.8133894640798,0.3,0.3333333333333333,0.375,6.7,111.375,0.5080547522652786,1397.5603487128026,0,1.0,0.0,0.0,1.0
Daniel Evans,2025-07-21,1471.125462907893,0.6,0.6666666666666666,0.4,4.3,118.0,0.48892857142857143,1498.6604914418372,1,0.0,1.0,1.0,0.0
Daniel Masur,2025-01-31,1483.5270632065321,0.0,0.0,0.0,3.0,133.0,0.6153846153846154,1468.2851020455537,0,0.0,,,
Daniel Merida,2026-05-25,1533.8479816680167,0.6,0.3333333333333333,0.6666666666666666,2.5,120.6,0.5614183039183038,1525.1950571959508,0,0.0,0.0,1.0,1.0
Daniel Rincon,2024-04-15,1500.0,,,,,,,1483.9393790898255,0,,,,
Daniels Tens,2025-02-01,1469.4358728782763,0.0,0.0,0.0,0.0,101.5,0.7063492063492063,1440.1458401973207,0,0.0,0.0,0.0,
Daniil Glinka,2025-09-12,1500.0,,,,,,,1483.8753402559062,0,,,,
